id,name,issn_l,issn,type,is_oa,is_in_doaj,host_organization,host_organization_name
name:encyclopedia of the sciences of learning,Encyclopedia of the Sciences of Learning,,,,0,0,,
name:rugman reviews,Rugman Reviews,,,,0,0,,
name:biostatistics and microbiology: a survival manual,Biostatistics and Microbiology: A Survival Manual,,,,0,0,,
name:electronics: a first course,Electronics: A First Course,,,,0,0,,
name:2005 ieee computer society conference on computer vision and pattern recognition (cvpr'05),2005 IEEE Computer Society Conference on Computer Vision and Pattern Recognition (CVPR'05),,,,0,0,,
name:proceedings of the 2001 ieee computer society conference on computer vision and pattern recognition. cvpr 2001,Proceedings of the 2001 IEEE Computer Society Conference on Computer Vision and Pattern Recognition. CVPR 2001,,,,0,0,,
name:proceedings of icnn'95 - international conference on neural networks,Proceedings of ICNN'95 - International Conference on Neural Networks,,,,0,0,,
name:proceedings of the 40th annual meeting on association for computational linguistics  - acl '02,Proceedings of the 40th Annual Meeting on Association for Computational Linguistics  - ACL '02,,,,0,0,,
name:proceedings of the seventh ieee international conference on computer vision,Proceedings of the Seventh IEEE International Conference on Computer Vision,,,,0,0,,
name:http://www2.cs.uh.edu/~ceick/7363/papers/dbscan.pdf,http://www2.cs.uh.edu/~ceick/7363/Papers/dbscan.pdf,,,,0,0,,
name:action control,Action Control,,,,0,0,,
"name:utility, probability, and human decision making","Utility, Probability, and Human Decision Making",,,,0,0,,
name:speech acts,Speech Acts,,,,0,0,,
name:без журнала,Без журнала,,,,0,0,,
